School,Degree,Degree Name,Website
Michigan State University,MS,Business Analytics,http://broad.msu.edu/businessanalytics/
University of Cincinnati,MS,Business Analytics,http://business.uc.edu/graduate/msbana.html
CUNY SPS,MS,Data Science,http://catalog.sps.cuny.edu/preview_program.php?catoid=2&poid=607
Northwestern University SPS,MS,Data Science,http://sps.northwestern.edu/program-areas/graduate/predictive-analytics/
Arizona State University,MS,Business Analytics,http://wpcarey.asu.edu/masters-programs/business-analytics/curriculum
Purdue University,MS,Business Analytics and Information Management,http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/
University of Maryland,MS,Business Analytics,http://www.rhsmith.umd.edu/programs/ms-programs/marketing-analytics
Boston University Metropolitan College,MS,Computer Science concentration in Data Analytics,http://www.bu.edu/met/programs/graduate/computer-science/data-analytics/
North Carolina State University,MS,Analytics,http://analytics.ncsu.edu/
